"143, 12, 2013-11-01, 2014-01-05"
"218, 10, 2012-05-16, NULL"
"143, 10, 2009-01-01, 2011-04-27"
"100, 10, 2011-02-07, 2013-04-15"
"500, 55, 2009-03-01, 2009-05-01"
"600, 55, 2009-03-01, 2009-03-15"
"500, 13, 2009-01-01, 2010-01-01"
"600, 13, 2009-01-01, 2010-01-01"
"600, 12, 2013-12-25, 2020-12-28"
"1, 3, 2018-10-12, NULL"
"1, 2, 2019-12-25, 2020-12-28"
"1, 3, 2018-10-12, NULL"
"1, 4, 2019-11-16, NULL"
"1, 5, 2020-1-5, 2020-12-21"
"2, 1, 2018-10-3, NULL"
"2, 2, 2019-1-16, 2020-3-24"
"2, 3, 2019-5-22, 2019-12-26"
"2, 4, 2020-3-7, NULL"
"2, 5, 2018-1-24, 2019-1-15"
"3, 1, 2019-3-21, 2020-11-26"
"3, 5, 2019-9-28, 2020-12-25"
"4, 2, 2018-10-22, NULL"
"4, 3, 2018-1-27, 2020-8-28"
"5, 3, 2018-2-3, 2020-10-14"
"5, 5, 2018-8-4, NULL"
